timestamp,realVolumeValue,accX,accY,accZ,ir0,ir1,ir2,milkVolume,confidence,totalMilkVolume,totalRange,bottleSize,bottleState,tiltOutOfRange,motionOutOfRange
1698069936.13171,90,1518.0,83.0,16189.0,16203.0,20441.0,22102.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069936.341826,90,1487.0,242.0,16138.0,18482.0,19974.0,19562.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069936.522599,90,1448.0,260.0,16296.0,16889.0,20183.0,22464.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069936.732459,90,1366.0,171.0,16051.0,18336.0,19825.0,20262.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069936.911552,90,1403.0,245.0,16285.0,17287.0,20808.0,22212.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069937.122182,90,1423.0,205.0,15790.0,18024.0,20680.0,21484.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069937.362859,90,1480.0,-332.0,15658.0,17347.0,20700.0,22036.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069937.5122519,90,607.0,-353.0,16218.0,16756.0,20901.0,22406.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069937.7224631,90,-278.0,-254.0,16818.0,19142.0,20052.0,21253.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069937.932292,90,-745.0,344.0,16153.0,17313.0,19438.0,22927.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069938.142437,90,-563.0,249.0,16333.0,18012.0,19415.0,20803.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069938.351686,90,-611.0,136.0,16204.0,17465.0,19598.0,22902.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069938.561551,90,-647.0,32.0,16257.0,19060.0,19611.0,21733.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069938.744122,90,-731.0,437.0,16507.0,17540.0,19444.0,22343.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069938.9511828,90,-326.0,119.0,16040.0,18641.0,19269.0,20905.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069939.162422,90,-663.0,-153.0,16199.0,17506.0,18911.0,22927.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069939.34185,90,-468.0,216.0,16342.0,18312.0,19685.0,21104.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069939.551938,90,-492.0,30.0,16115.0,17717.0,20191.0,22610.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069939.7627711,90,34.0,-87.0,16080.0,18558.0,19765.0,21198.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069939.9423609,90,86.0,9.0,16366.0,17011.0,19672.0,22271.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069940.151896,90,71.0,144.0,16312.0,18480.0,19729.0,21141.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069940.3624601,90,-221.0,-87.0,16355.0,17339.0,19773.0,23029.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069940.5415158,90,-31.0,-79.0,16255.0,18057.0,20054.0,21296.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069940.7518659,90,29.0,-51.0,16653.0,17641.0,19805.0,22261.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069940.96223,90,-242.0,-58.0,16404.0,18239.0,19843.0,21518.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698069941.144002,90,-138.0,-238.0,16189.0,17395.0,19870.0,22225.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
