timestamp,realVolumeValue,accX,accY,accZ,ir0,ir1,ir2,milkVolume,confidence,totalMilkVolume,totalRange,bottleSize,bottleState,tiltOutOfRange,motionOutOfRange
1698055797.6386971,25,-533.0,2996.0,16011.0,9211.0,7935.0,8677.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055797.817513,25,-823.0,3144.0,16142.0,9221.0,7999.0,8795.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055798.0287418,25,-737.0,2815.0,15935.0,9255.0,8015.0,8848.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055798.23764,25,-745.0,2985.0,15926.0,9208.0,8017.0,8845.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055798.4175801,25,-975.0,2844.0,16020.0,9196.0,8067.0,8868.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055798.628289,25,-771.0,2263.0,16031.0,9356.0,8150.0,9130.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055798.837582,25,-1883.0,2264.0,16129.0,9260.0,8069.0,9226.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055799.01796,25,-2482.0,2216.0,15766.0,9363.0,7952.0,9227.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055799.2279449,25,-3000.0,1223.0,15715.0,9143.0,7921.0,9596.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055799.437519,25,-3622.0,613.0,15909.0,8951.0,8134.0,9970.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055799.617865,25,-4930.0,-1070.0,15644.0,8405.0,7538.0,10020.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055799.827955,25,-5323.0,-1944.0,15057.0,7392.0,7228.0,10291.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055800.037698,25,-5584.0,-1616.0,15213.0,8481.0,7761.0,10130.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055800.248769,25,-5231.0,-1076.0,15381.0,8421.0,7792.0,10268.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055800.427919,25,-4591.0,-1103.0,15997.0,8169.0,7772.0,10571.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
1698055800.637855,25,-3018.0,-349.0,15943.0,8913.0,8084.0,10115.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1698055800.818304,25,-1804.0,-11.0,15883.0,8747.0,8206.0,10113.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1698055801.027526,25,-262.0,567.0,16261.0,8952.0,9375.0,10151.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1698055801.237956,25,931.0,1692.0,16187.0,9284.0,8212.0,9032.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1698055801.447561,25,2487.0,1379.0,15595.0,8192.0,8042.0,8591.0,60.0,15.0,60.0,15.0,0.0,2.0,0.0,0.0
1698055801.6276,25,1984.0,1216.0,16185.0,8811.0,9618.0,9295.0,60.0,15.0,60.0,15.0,0.0,2.0,0.0,0.0
1698055801.837864,25,1055.0,763.0,16036.0,8841.0,8200.0,9010.0,60.0,15.0,60.0,15.0,0.0,2.0,0.0,0.0
1698055802.047266,25,172.0,469.0,16131.0,8997.0,8476.0,9809.0,60.0,15.0,60.0,15.0,0.0,2.0,0.0,0.0
1698055802.227905,25,-539.0,384.0,16457.0,8754.0,8486.0,9918.0,60.0,15.0,60.0,15.0,0.0,2.0,0.0,0.0
